home team,away team,time,home team logo,away team logo,home team score,away team score
Alcoyano,Antequera, ,WnhsJnS0-no5LkQQ6.png,MRtWqbS0-2VG0Gq4h.png,2,1
Merida AD,Granada CF B, ,6Z63QdUH-K8pKVX94.png,2msEUjiT-0KRH1UJH.png,1,0
Atl. Madrid B,Linares, ,fRDwXEUH-KAuUVZn2.png,4YryrEme-tUqzYDq7.png,5,0
Real Madrid,Barcelona, ,CGPhnpne-fcDVLdrL.png,jZ8dSYS0-fcDVLdrL.png,4,1
Huelva W,Real Sociedad W, ,ve59WS7k-KAoXVbyc.png,02fup686-U144u08h.png,1,4
Las Planas W,Sevilla FC W, ,WGNnvOA6-dryZbv1q.png,fFJ1fySq-lbB1miCD.png,0,4
Real Oviedo W,Costa Adeje Tenerife W, ,2VxfGpgT-hlyIA9iB.png,jmuwl2hT-IgTBZUva.png,1,2
Athletic Bilbao W,Madrid C. W, ,jPkIaLCN-WGDgkDs1.png,nwweAQBN-EeP4JJx5.png,1,0
Binah,Kakadl, ,0rxjjRUH-dhIF562o.png,rqBpXW5k-dhIF562o.png,0,2
Binah,Semassi, ,0rxjjRUH-dhIF562o.png,SvUJXTjC-p8ufpTR3.png,-,-
Doumbe,ASC Kara, ,QJdjvDT0-Gty7C7xj.png,29i8MahT-pC92HWTo.png,-,-
